id;name;color_r;color_g;color_b
piano;Pianos;0.1;0.11;0.11
chromaticperc;Chromatic Percussion;0.82;0.32;0.18
organ;Organs;0.76;0.44;0.15
guitar;Guitars;0.84;0.35;0
bass;Basses;0.15;0.15;0.15
strings;Strings;0.41;0.06;0.02
ensemble;Ensembles;0.41;0.06;0.02
brass;Brass;0.94;0.87;0.47
reed;Reeds;0.84;0.69;0.41
pipe;Pipes;0.27;0.27;0.27
synthlead;Synth Leads;0.7;0.7;0.7
synthpad;Synth Pads;0.7;0.7;0.7
synthfx;Synth FXs;0.7;0.7;0.7
Ethnic;Ethnic;0.45;0.18;0.15
perc;Percussive;0.56;0.57;0.57
sfx;Sound FXs;0.8;0.8;0.8
